list_name,name,label,district_lgd
district,745,Alluri Sitharama Raju,
district,744,Anakapalli,
district,502,Ananthapuramu,
district,753,Annamayya,
district,750,Bapatla,
district,503,Chittoor,
district,747,Dr.B.R.Ambedkar Konaseema,
district,505,East Godavari,
district,748,Eluru,
district,506,Guntur,
district,746,Kakinada,
district,510,Krishna,
district,511,Kurnool,
district,792,Markapuram,
district,755,Nandyal,
district,749,NTR,
district,751,Palnadu,
district,743,Parvathipuram Manyam,
district,791,Polavaram,
district,512,Prakasam,
district,515,Sri Potti Sriramulu Nellore,
district,754,Sri Sathya Sai,
district,519,Srikakulam,
district,752,Tirupati,
district,520,Visakhapatnam,
district,521,Vizianagaram,
district,523,West Godavari,
district,504,Y.S.R.Kadapa,
mandal,4845,Ananthagiri,745
mandal,4844,Aruku Valley,745
mandal,4849,Chintapalle,745
mandal,4843,Dumbriguda,745
mandal,4850,G K Veedhi,745
mandal,4848,G Madugula,745
mandal,4846,Hukumpeta,745
mandal,4851,Koyyuru,745
mandal,4841,Munchingiputtu,745
mandal,4847,Paderu,745
mandal,4842,Pedabayalu,745
mandal,4871,Anakapalli,744
mandal,4878,Atchutapuram,744
mandal,4873,Butchayyapeta,744
mandal,4858,Cheedikada,744
mandal,4872,Chodavaram,744
mandal,4859,Devarapalle,744
mandal,4853,Golugonda,744
mandal,4860,K Kotapadu,744
mandal,4876,Kasimkota,744
mandal,4874,Kotauratla,744
mandal,4857,Madugula,744
mandal,4875,Makavarapalem,744
mandal,4877,Munagapaka,744
mandal,4880,Nakkapalli,744
mandal,4854,Narsipatnam,744
mandal,4852,Nathavaram,744
mandal,4870,Paravada,744
mandal,4881,Payakaraopeta,744
mandal,4883,Rambilli,744
mandal,4856,Ravikamatam,744
mandal,4855,Rolugunta,744
mandal,4882,S.Rayavaram,744
mandal,4861,Sabbavaram,744
mandal,4879,Yelamanchili,744
mandal,5330,Anantapur Rural,502
mandal,7426,Anantapur Urban,502
mandal,5322,Atmakur,502
mandal,5318,Beluguppa,502
mandal,5307,Bommanahal,502
mandal,5320,Brahmasamudram,502
mandal,5329,Bukkaraya Samudram,502
mandal,5304,D.Hirehal,502
mandal,5324,Garladinne,502
mandal,5310,Gooty,502
mandal,5319,Gummagatta,502
mandal,5309,Guntakal,502
mandal,5321,Kalyandurg,502
mandal,5334,Kambadur,502
mandal,5306,Kanekal,502
mandal,5323,Kudair,502
mandal,5333,Kundurpi,502
mandal,5328,Narpala,502
mandal,5315,Pamidi,502
mandal,5314,Peddapappur,502
mandal,5311,Peddavadugur,502
mandal,5326,Putlur,502
mandal,5331,Raptadu,502
mandal,5305,Rayadurg,502
mandal,5332,Settur,502
mandal,5325,Singanamala,502
mandal,5313,Tadpatri,502
mandal,5317,Uravakonda,502
mandal,5316,Vajrakarur,502
mandal,5308,Vidapanakal,502
mandal,5312,Yadiki,502
mandal,5327,Yellanur,502
mandal,5391,B.Kothakota,753
mandal,5236,Chinnamandem,753
mandal,5413,Chowdepalle,753
mandal,5235,Galiveedu,753
mandal,5370,Gurramkonda,753
mandal,5371,Kalakada,753
mandal,5387,Kalikiri,753
mandal,5372,Kambhamvaripalle,753
mandal,5389,Kurabalakota,753
mandal,5240,Lakkireddipalle,753
mandal,5392,Madanapalle,753
mandal,5367,Mulakalacheruvu,753
mandal,5393,Nimmanapalle,753
mandal,5390,Pedda Thippasamudram,753
mandal,5369,Peddamandyam,753
mandal,5386,Pileru,753
mandal,5415,Punganur,753
mandal,5241,Ramapuram,753
mandal,5414,Ramasamudram,753
mandal,5239,Rayachoti,753
mandal,5237,Sambepalle,753
mandal,5394,Sodam,753
mandal,5412,Somala,753
mandal,5368,Thamballapalle,753
mandal,5388,Vayalpadu,753
mandal,5086,Amruthalur,750
mandal,5093,Bapatla,750
mandal,5089,Bhattiprolu,750
mandal,5090,Cherukupalle,750
mandal,5125,Chinaganjam,750
mandal,5123,Chirala,750
mandal,5110,Inkollu,750
mandal,5109,Karamchedu,750
mandal,5092,Karlapalem,750
mandal,5088,Kollur,750
mandal,5106,Martur,750
mandal,5095,Nagaram,750
mandal,5094,Nizampatnam,750
mandal,5108,Parchur,750
mandal,5091,Pittalavanipalem,750
mandal,5096,Repalle,750
mandal,5085,Tsundur,750
mandal,5087,Vemuru,750
mandal,5124,Vetapalem,750
mandal,5107,Yeddanapudi,750
mandal,5423,Baireddipalle,503
mandal,5429,Bangarupalem,503
mandal,5421,Chittoor Rural,503
mandal,7427,Chittoor Urban,503
mandal,5420,Gangadharanellore,503
mandal,5417,Gangavaram,503
mandal,5431,Gudipala,503
mandal,5426,Gudupalle,503
mandal,5411,Irala,503
mandal,5408,Karvetinagar,503
mandal,5427,Kuppam,503
mandal,5406,Nagari,503
mandal,5404,Nindra,503
mandal,5422,Palamaner,503
mandal,5432,Palasamudram,503
mandal,5416,Peddapanjani,503
mandal,5409,Penumuru,503
mandal,5395,Pulicherla,503
mandal,5410,Puthalapattu,503
mandal,5428,Ramakuppam,503
mandal,5373,Rompicherla,503
mandal,5425,Santhipuram,503
mandal,5419,Srirangarajapuram,503
mandal,5418,Thavanampalle,503
mandal,5397,Vedurukuppam,503
mandal,5424,Venkatagirikota,503
mandal,5405,Vijayapuram,503
mandal,5430,Yadamarri,503
mandal,4933,Ainavilli,747
mandal,4925,Alamuru,747
mandal,4940,Allavaram,747
mandal,4941,Amalapuram,747
mandal,4935,Ambajipeta,747
mandal,4919,Atreyapuram,747
mandal,4931,I. Polavaram,747
mandal,4929,K.Gangavaram,747
mandal,4943,Katrenikona,747
mandal,4927,Kothapeta,747
mandal,4938,Malikipuram,747
mandal,4936,Mamidikuduru,747
mandal,4932,Mummidivaram,747
mandal,4934,P.Gannavaram,747
mandal,4924,Ramachandrapuram,747
mandal,4926,Ravulapalem,747
mandal,4937,Razole,747
mandal,4939,Sakhinetipalle,747
mandal,4942,Uppalaguptam,747
mandal,4917,Anaparthy,505
mandal,4916,Biccavolu,505
mandal,4959,Chagallu,505
mandal,4957,Devarapalle,505
mandal,4897,Gokavaram,505
mandal,4951,Gopalapuram,505
mandal,4918,Kadiam,505
mandal,4928,Kapileswarapuram,505
mandal,4905,Korukonda,505
mandal,4958,Kovvur,505
mandal,4920,Mandapeta,505
mandal,4956,Nallajerla,505
mandal,4960,Nidadavole,505
mandal,4971,Peravali,505
mandal,4906,Rajahmundry (Fully Urban),505
mandal,4907,Rajahmundry (Rural),505
mandal,4908,Rajanagaram,505
mandal,4909,Rangampeta,505
mandal,4921,Rayavaram,505
mandal,4896,Seethanagaram,505
mandal,4950,Tallapudi,505
mandal,4970,Undrajavaram,505
mandal,5005,Agiripalle,748
mandal,4963,Bhimadole,748
mandal,4948,Buttayagudem,748
mandal,5001,Chatrai,748
mandal,4944,Chintalapudi,748
mandal,4967,Denduluru,748
mandal,4955,Dwaraka Tirumala,748
mandal,4966,Eluru Rural,748
mandal,7428,Eluru Urban,748
mandal,4953,Jangareddigudem,748
mandal,4947,Jeelugu Milli,748
mandal,5016,Kaikalur,748
mandal,5017,Kalidindi,748
mandal,4954,Kamavarapukota,748
mandal,4952,Koyyalagudem,748
mandal,4735,Kukunoor,748
mandal,4945,Lingapalem,748
mandal,5015,Mandavalli,748
mandal,5020,Mudinepalle,748
mandal,5002,Musunuru,748
mandal,4968,Nidamarru,748
mandal,5003,Nuzvid,748
mandal,4965,Pedapadu,748
mandal,4964,Pedavegi,748
mandal,4949,Polavaram,748
mandal,4946,T.Narasapuram,748
mandal,4962,Ungutur,748
mandal,4734,Velairpadu,748
mandal,5079,Chebrolu,506
mandal,5076,Duggirala,506
mandal,6833,Guntur East,506
mandal,5074,Guntur West,506
mandal,5083,Kakumanu,506
mandal,5077,Kollipara,506
mandal,5055,Mangalagiri,506
mandal,5073,Medikonduru,506
mandal,5075,Pedakakani,506
mandal,5082,Pedanandipadu,506
mandal,5072,Phirangipuram,506
mandal,5084,Ponnur,506
mandal,5081,Prathipadu,506
mandal,5054,Tadepalle,506
mandal,5056,Tadikonda,506
mandal,5078,Tenali,506
mandal,5053,Thullur,506
mandal,5080,Vatticherukuru,506
mandal,4904,Gandepalle,746
mandal,4902,Gollaprolu,746
mandal,4898,Jaggampeta,746
mandal,4923,Kajuluru,746
mandal,4913,Kakinada Rural,746
mandal,4914,Kakinada Urban,746
mandal,4922,Karapa,746
mandal,4899,Kirlampudi,746
mandal,4889,Kotananduru,746
mandal,4912,Kothapalle,746
mandal,4915,Pedapudi,746
mandal,4903,Peddapuram,746
mandal,4911,Pithapuram,746
mandal,4900,Prathipadu,746
mandal,4891,Rowthulapudi,746
mandal,4910,Samalkota,746
mandal,4892,Sankhavaram,746
mandal,4930,Thallarevu,746
mandal,4901,Thondangi,746
mandal,4890,Tuni,746
mandal,4893,Yeleswaram,746
mandal,5037,Avanigadda,510
mandal,5019,Bantumilli,510
mandal,5004,Bapulapadu,510
mandal,5035,Challapalle,510
mandal,5012,Gannavaram,510
mandal,5033,Ghantasala,510
mandal,5021,Gudivada,510
mandal,5029,Gudlavalleru,510
mandal,5031,Guduru,510
mandal,5023,Kankipadu,510
mandal,5039,Koduru,510
mandal,5018,Kruthivennu,510
mandal,7429,Machilipatnam North,510
mandal,5034,Machilipatnam South,510
mandal,5036,Mopidevi,510
mandal,5032,Movva,510
mandal,5038,Nagayalanka,510
mandal,5014,Nandivada,510
mandal,5028,Pamarru,510
mandal,5026,Pamidimukkala,510
mandal,5030,Pedana,510
mandal,5022,Pedaparupudi,510
mandal,5024,Penamaluru,510
mandal,5025,Thotlavalluru,510
mandal,5013,Unguturu,510
mandal,5027,Vuyyuru,510
mandal,5271,Adoni-1,511
mandal,7563,Adoni-2,511
mandal,5274,Alur,511
mandal,5275,Aspari,511
mandal,5256,C.Belagal,511
mandal,5291,Chippagiri,511
mandal,5276,Devanakonda,511
mandal,5270,Gonegandla,511
